ID,Title,Episodes,Synopsis,Score,Day_aired,Duration,Genres,Tags,Main Role,Support Role,Url
54625,Flower of Evil (2020), 16,"Although Baek Hee Sung is hiding a dark secret surrounding his true identity, he has established a happy family life and a successful career. He is a loving husband and doting father to his young daughter. But his perfect façade begins to crumble when his wife, Cha Ji Won, a homicide detective, begins investigating a string of serial murders from 15 years ago. Ji Won notices changes in Hee Sung’s behavior and"," 9.1 (scored by 55,426 users)",, 1 hr. 10 min.,"Thriller,Romance,Crime,Melodrama","FamilySecret,Mystery,Suspense,HiddenPersonality,AntisocialPersonalityDisorder,Deception,Investigation,SmartFemaleLead,Murder,CharacterDevelopment","Lee Joon Gi,Moon Chae Won,Jang Hee Jin,Seo Hyun Woo,","Nam Ki Ae,Son Jong Hak,",https://mydramalist.com//54625-flower-of-evil
54625,Flower of Evil (2020), 16,"Although Baek Hee Sung is hiding a dark secret surrounding his true identity, he has established a happy family life and a successful career. He is a loving husband and doting father to his young daughter. But his perfect façade begins to crumble when his wife, Cha Ji Won, a homicide detective, begins investigating a string of serial murders from 15 years ago. Ji Won notices changes in Hee Sung’s behavior and"," 9.1 (scored by 55,426 users)",, 1 hr. 10 min.,"Thriller,Romance,Crime,Melodrama","FamilySecret,Mystery,Suspense,HiddenPersonality,AntisocialPersonalityDisorder,Deception,Investigation,SmartFemaleLead,Murder,CharacterDevelopment","Lee Joon Gi,Moon Chae Won,Jang Hee Jin,Seo Hyun Woo,","Nam Ki Ae,Son Jong Hak,",https://mydramalist.com/54625-flower-of-evil
36269,Hospital Playlist (2020), 12,"The stories of people going through their days are seemingly ordinary but actually special at the hospital, a place known as the microcosm of life, where someone is being born and someone's life meets its ending. The five doctors are long-time friends of 20 years who started their undergrad in 1999 in the same medical school and now are colleagues in the same hospital and have a band together.

(Source: Korean ="," 9.1 (scored by 43,446 users)",, 1 hr. 30 min.,"Romance,Life,Drama,Medical","MultipleMains,SlowRomance,MultipleCouples,Friendship,Bromance,SlightRomance,StrongFemaleLead,Healing,NiceMaleLead,Music","Jo Jung Suk,Yoo Yeon Seok,Jung Kyung Ho,Kim Dae Myung,Jeon Mi Do,","Shin Hyun Been,",https://mydramalist.com//36269-doctor-playbook
36269,Hospital Playlist (2020), 12,"The stories of people going through their days are seemingly ordinary but actually special at the hospital, a place known as the microcosm of life, where someone is being born and someone's life meets its ending. The five doctors are long-time friends of 20 years who started their undergrad in 1999 in the same medical school and now are colleagues in the same hospital and have a band together.

(Source: Korean ="," 9.1 (scored by 43,446 users)",, 1 hr. 30 min.,"Romance,Life,Drama,Medical","MultipleMains,SlowRomance,MultipleCouples,Friendship,Bromance,SlightRomance,StrongFemaleLead,Healing,NiceMaleLead,Music","Jo Jung Suk,Yoo Yeon Seok,Jung Kyung Ho,Kim Dae Myung,Jeon Mi Do,","Shin Hyun Been,",https://mydramalist.com/36269-doctor-playbook
52939,Alchemy of Souls (2022), 20,"Set in a fictional country called Daeho that does not exist in history or on maps, it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the &quot;alchemy of souls&quot;, which allows souls to switch bodies.

It follows the story of an elite assassin named Naksu, whose soul is accidentally trapped inside the weak body of Mu Deok—Jang"," 9.1 (scored by 46,965 users)",, 1 hr. 20 min.,"Action,Historical,Romance,Fantasy","Transmigration,Master-DiscipleRelationship,MultipleMains,HiddenIdentity,Supernatural,BodySwap,ElementalPower,StrongFemaleLead,FakeIdentity,Comedy","Lee Jae Wook,Jung So Min,","Hwang Min Hyun,Shin Seung Ho,Yoo  Joon Sang,Oh Na Ra,",https://mydramalist.com//52939-can-this-person-be-translated
52939,Alchemy of Souls (2022), 20,"Set in a fictional country called Daeho that does not exist in history or on maps, it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the &quot;alchemy of souls&quot;, which allows souls to switch bodies.

It follows the story of an elite assassin named Naksu, whose soul is accidentally trapped inside the weak body of Mu Deok—Jang"," 9.1 (scored by 46,965 users)",, 1 hr. 20 min.,"Action,Historical,Romance,Fantasy","Transmigration,Master-DiscipleRelationship,MultipleMains,HiddenIdentity,Supernatural,BodySwap,ElementalPower,StrongFemaleLead,FakeIdentity,Comedy","Lee Jae Wook,Jung So Min,","Hwang Min Hyun,Shin Seung Ho,Yoo  Joon Sang,Oh Na Ra,",https://mydramalist.com/52939-can-this-person-be-translated
13544,Reply 1988 (2015), 20,"Five childhood friends, who all live in the same Ssangmundong neighborhood of Seoul, lean on each other to survive their challenging teen years and set a path for their futures. Sung Deok Sun struggles for attention as the middle child in her poor family while also carrying the burden of her 999th ranking in school. Kim Jung Hwan only has a one-track mind for soccer, even after his family becomes rich overnight."," 9.1 (scored by 43,947 users)",, 1 hr. 35 min.,"Comedy,Romance,Life,Youth","Nostalgia,MultipleCouples,PoorFamily,LoveTriangle,Friendship,HighSchool,Mother-SonRelationship,ComingOfAge,Bromance,PoorFemaleLead","Lee Hye Ri,Go Kyung Pyo,Ryu Joon Yeol,Park Bo Gum,Lee Dong Hwi,","Sung Dong Il,",https://mydramalist.com//13544-reply-1988
13544,Reply 1988 (2015), 20,"Five childhood friends, who all live in the same Ssangmundong neighborhood of Seoul, lean on each other to survive their challenging teen years and set a path for their futures. Sung Deok Sun struggles for attention as the middle child in her poor family while also carrying the burden of her 999th ranking in school. Kim Jung Hwan only has a one-track mind for soccer, even after his family becomes rich overnight."," 9.1 (scored by 43,947 users)",, 1 hr. 35 min.,"Comedy,Romance,Life,Youth","Nostalgia,MultipleCouples,PoorFamily,LoveTriangle,Friendship,HighSchool,Mother-SonRelationship,ComingOfAge,Bromance,PoorFemaleLead","Lee Hye Ri,Go Kyung Pyo,Ryu Joon Yeol,Park Bo Gum,Lee Dong Hwi,","Sung Dong Il,",https://mydramalist.com/13544-reply-1988
25172,My Mister (2018), 16,"Park Dong Hoon is a middle-aged engineer who is married to attorney Kang Yoon Hee. However, his life is not that happy as he has two unemployed brothers, Sang Hoon and Gi Hoon, who rely on him. Moreover, his wife is secretly having an affair with CEO Do Joon Yeong, his current boss and college junior.

Receiving an unexpected bribe one day, Dong Hoon notices that his co-worker Lee Ji An witnessed"," 9.0 (scored by 26,757 users)",, 1 hr. 17 min.,"Psychological,Life,Drama","NiceMaleLead,Depression,Healing,PoorFemaleLead,StrongFemaleLead,Infidelity,Lying,PowerStruggle,Deception,Grandma-GranddaughterRelationship","Lee Sun Kyun,IU,","Park Ho San,Song Sae Byuk,Lee Ji Ah,Kim Young Min,",https://mydramalist.com//25172-my-ajusshi
25172,My Mister (2018), 16,"Park Dong Hoon is a middle-aged engineer who is married to attorney Kang Yoon Hee. However, his life is not that happy as he has two unemployed brothers, Sang Hoon and Gi Hoon, who rely on him. Moreover, his wife is secretly having an affair with CEO Do Joon Yeong, his current boss and college junior.

Receiving an unexpected bribe one day, Dong Hoon notices that his co-worker Lee Ji An witnessed"," 9.0 (scored by 26,757 users)",, 1 hr. 17 min.,"Psychological,Life,Drama","NiceMaleLead,Depression,Healing,PoorFemaleLead,StrongFemaleLead,Infidelity,Lying,PowerStruggle,Deception,Grandma-GranddaughterRelationship","Lee Sun Kyun,IU,","Park Ho San,Song Sae Byuk,Lee Ji Ah,Kim Young Min,",https://mydramalist.com/25172-my-ajusshi
